id,name,type,center,title,specializationTags,source,location
expert_1,张锦华,机构特教,南昌市青山湖区心悦儿童康复中心,南昌心悦儿童康复中心教务主任 | 南昌市优秀康复教师 | 孤独症康复训练高级教师 | 孤独症康复师导师,"[""ABA应用行为分析"", ""特殊儿童行为训练"", ""家长心理辅导""]",自闭症家园网,青山湖区
expert_2,舒敬宇,机构特教,南昌市青山湖区心悦儿童康复中心,心悦儿童康复中心教导部主任 | 中残联首批获得孤独症上岗资格证书 | CNABA丙级应用行为分析师 | 孤独症康复师导师 | 香港协康会结构化教学证书,"[""应用行为分析"", ""语言行为疗法"", ""同伴关系训练"", ""孤独症康复训练"", ""孤独症康复训练师"", ""特殊教育""]",自闭症家园网,青山湖区
expert_3,钟海英,机构督导,南昌市青山湖区心悦儿童康复中心,江西省康复协会理事 | 南昌市青山湖区精协主席 | 南昌市儿童康复优秀领军名师 | 中残联首批孤独症康复学科带头人 | 中残联首批获得孤独症上岗资格证书,"[""特殊教育"", ""孤独症心理干预"", ""语言康复治疗"", ""ABA应用行为分析"", ""RDI关系发展干预"", ""PEP3评估"", ""孤独症儿童家长心理咨询""]",自闭症家园网,青山湖区
expert_4,郝艳秋,诊治医生,哈尔滨市第二医院儿童康复科,特教老师,"[""小儿常见病"", ""多发病"", ""疑难病"", ""罕见病"", ""小儿神经疾病"", ""癫痫病"", ""精神发育迟滞"", ""多动抽动"", ""孤独症""]",自闭症家园网,黑龙江哈尔滨市
expert_5,张爱启,诊治医生,哈尔滨市第二医院儿童康复科,哈尔滨市第二医院主任医师 | 博士 | 博士后 | 硕士研究生导师 | 中华医学会黑龙江分会儿科学分会小儿神经学组委员,"[""儿童常见病与多发病"", ""儿童神经内科疾病"", ""儿童内分泌及过敏性疾病"", ""儿童发育行为相关疾病""]",自闭症家园网,黑龙江哈尔滨市
expert_6,贾占玲,诊治医生,上海歌特维康门诊部有限公司,精神科副主任医师 | 中级心理治疗师 | 北京市医学会精神病学分会第十届委员会委员 | 北京市昌平区劳动能力鉴定委员会专家 | 北京市昌平区全民健康行动小组成员,"[""精神分裂症"", ""心境障碍"", ""焦虑障碍"", ""酒依赖"", ""睡眠障碍"", ""躯体形式障碍""]",自闭症家园网,上海黄浦区
expert_7,匡桂芳,机构督导,青岛奥烨星空康复医疗科技股份有限公司,青岛大学附属妇女儿童医院原心理科主任 | 主任医师 | 精神科医生 | 心理治疗师 | 中国心理学会注册督导师,"[""儿童多动症"", ""抽动障碍"", ""孤独症谱系障碍"", ""学习困难"", ""智力障碍"", ""语言障碍"", ""社交沟通障碍"", ""进食障碍"", ""行为障碍"", ""家庭治疗""]",自闭症家园网,山东青岛市
expert_8,张鑫红,机构督导,黑龙江沐光行教育科技有限公司,持证康复治疗师 | 沐光行教育0T教学主管 | 10年资深OT治疗师 | 原北京宝篮贝贝金牌作业治疗师 | 原北京宝秀兰医疗0T教学主管,"[""特殊儿童康复"", ""发育迟缓"", ""孤独症"", ""唐氏综合征"", ""脑瘫"", ""注意力缺陷障碍"", ""学习困难"", ""手功能精细动作训练"", ""生活自理能力"", ""书写能力""]",自闭症家园网,黑龙江哈尔滨市
expert_9,黄艳明,诊治医生,青岛松乔康复医院有限公司,言语口肌治疗部主任 | 高级言语康复师 | 早期言语干预治疗师 | 卫健委认证康复治疗师 | 康复院校实习生带教老师,"[""OPT口肌疗法"", ""传统口肌疗法"", ""言语治疗"", ""口腔功能障碍治疗"", ""构音障碍治疗"", ""言语表达障碍治疗"", ""儿童言语康复"", ""个性化康复计划"", ""家庭训练方案""]",自闭症家园网,山东青岛市
expert_10,孙真玉,诊治医生,青岛松乔康复医院有限公司,运动康复部主任 | 山东省残疾儿童康复学会肢体残疾会成员 | 青岛市康复治疗师联盟会员 | 爱在路上全国儿童康复巡回公益讲座组织成员 | 卫健委认证康复治疗师,"[""PT大运动治疗"", ""Bobath技术"", ""PNF技术"", ""DNS技术"", ""关节松动术"", ""悬吊治疗"", ""MET技术"", ""高分子石膏外固定术"", ""矫形器制作"", ""小儿脑瘫康复""]",自闭症家园网,山东青岛市
expert_11,姜涛,诊治医生,首都医科大学附属北京安定医院儿童精神科,主任医师 | 首都医科大学附属北京安定医院精神科病房主任,"[""精神分裂症"", ""双相情感障碍"", ""抑郁症"", ""焦虑症"", ""睡眠障碍"", ""酒精药物依赖"", ""患者社会功能康复"", ""家庭功能康复""]",自闭症家园网,北京西城区
expert_12,姜彩霞,机构督导,青岛松乔康复医院有限公司,认知教育部主任 | 高级行为干预师 | 青少年心理咨询师 | 家庭教育指导师 | 康复医院实习生带教老师,"[""PEP3"", ""VBMAPP"", ""PEAK"", ""ABBLSR"", ""儿童发展纲领"", ""评估体系"", ""康复计划"", ""家庭干预指导方案""]",自闭症家园网,山东青岛市
expert_13,康敏杰,机构特教,上海歌特维康门诊部有限公司,康复治疗师资格证中级 | 台湾小儿畸形与矫治技术证书,"[""各类发育障碍儿童的康复评估"", ""问题分析"", ""个性化干预指导"", ""发育迟缓"", ""脑瘫"", ""感统失调"", ""注意缺陷多动障碍"", ""孤独症谱系障碍"", ""行为干预"", ""骨骼肌肉发育异常""]",自闭症家园网,上海黄浦区
expert_14,颜婷婷,机构特教,上海歌特维康门诊部有限公司,康复治疗师资格证中级,"[""孤独症谱系障碍"", ""注意力缺陷多动症"", ""发育迟缓"", ""智力障碍""]",自闭症家园网,上海黄浦区
expert_15,韩馥蔓,机构特教,上海歌特维康门诊部有限公司,康复治疗师资格证 | 心理咨询师三级,"[""特殊儿童认知与语言评估"", ""儿童语言发育迟缓"", ""儿童功能性构音障碍"", ""孤独症谱系障碍"", ""语言开发"", ""社交技能训练""]",自闭症家园网,上海黄浦区
expert_16,余思国,机构特教,上海歌特维康门诊部有限公司,上海中医药大学康复治疗学 | 康复治疗师资格证 | 心理咨询师 | 游语社交小组证书 | 执行功能与注意力证书等,"[""儿童注意力问题"", ""感觉统合失调"", ""儿童多动症"", ""自闭症"", ""儿童发育迟缓"", ""儿童学习障碍"", ""行为干预"", ""特殊儿童团体社交训练""]",自闭症家园网,上海黄浦区
expert_17,赵慧慧,机构特教,上海歌特维康门诊部有限公司,康复治疗中级资格证书 | PECS图片交换沟通系统一级证书 | ABA孤独症康复专业技能证书 | 游语社交小组证书 | 应用行为分析操作证书RBT,"[""儿童语言障碍评估"", ""儿童语言障碍治疗"", ""儿童游戏治疗"", ""社交技能训练"", ""孤独症"", ""多动症"", ""脑瘫"", ""唐氏综合征""]",自闭症家园网,上海黄浦区
expert_18,唐文佳,机构特教,重庆市渝中区星之舟康复训练中心,星之舟南岸校区教学主管,"[""口语开发"", ""精细动作训练"", ""学习能力培养""]",自闭症家园网,渝中区
expert_19,文芳,机构特教,河南省郑州市管城回族区奇色花福利幼儿园,河南省学前融合教育试点园项目讲师 | 巡回辅导教师 | 学前儿童教育发展评量手册第二版副主编 | 教育部2022年基础教育教学成果二等奖,"[""学前融合教育"", ""班级管理与教学"", ""教师培训与发展"", ""全纳课程""]",自闭症家园网,管城回族区
expert_20,魏慧敏,机构特教,河南省郑州市管城回族区奇色花福利幼儿园,河南省学前融合教育试点园项目讲师 | 巡回辅导教师 | 管城回族区融合教育项目技术团队成员 | 学前融合教育本土化体系的建构与实践探索获教育部2022年基础教育教学成果二等奖,"[""学前融合教育"", ""学前融合教育政策研究"", ""学前融合教育项目实施"", ""学前融合教育科研"", ""学前融合教育推广"", ""幼儿园教师培训""]",自闭症家园网,管城回族区
expert_21,汤奇伟,机构特教,江苏南通家和中医诊所有限公司,感统部主管 | ABA孤独症康复专业技能证书 | 感觉统合训练师资格证 | 特殊儿童音乐治疗师 | 特殊儿童家庭干预指导师,"[""特殊教育咨询"", ""教育评估与诊断"", ""个别化教学"", ""教学模式创新"", ""课程设计优化""]",自闭症家园网,江苏南通市
expert_22,周志坚,机构特教,江苏南通家和中医诊所有限公司,感统部培训师 | ABA孤独症康复专业技能证书 | 感觉统合训练师资格证 | 特殊儿童音乐治疗师 | 特殊儿童家庭干预指导师,"[""感统失调训练"", ""儿童发育迟缓干预"", ""情景教学"", ""游戏教学"", ""感知觉训练"", ""大运动训练"", ""精细动作训练"", ""体适能训练""]",自闭症家园网,江苏南通市
expert_23,罗林,机构督导 | 公益人物,南昌童之梦特殊儿童康复科技有限公司,拥有博士学位 | 教授身份 | 江西师范大学孤独症运动干预研究机构主任 | 主持与参与完成省级课题 10 余项 | 基于 ICF  CY 的孤独症儿童运动干预模式构建与应用项目获教育部人文社会科学研究规划基金,"[""运动干预"", ""孤独症儿童康复"", ""社交障碍干预"", ""重复刻板行为矫正""]",自闭症家园网,江西南昌市
expert_24,洪丽娟,机构创始人,南昌市青云谱区现代儿童康复训练中心,江西省残疾儿童专家库专家 | 南昌市残疾人康复协会会长 | 2020 年度全国助残新闻人物 | 中国好人榜,"[""特殊教育"", ""康复服务"", ""残疾人康复"", ""儿童康复训练"", ""智障儿童托养"", ""自闭症儿童托养"", ""残疾人康复协会""]",自闭症家园网,青云谱区
expert_25,张春慧,机构特教,杭州爱未来医疗管理有限公司,康复治疗师 | 高级言语语言康复训练师 | 健康管理师 | 感觉统合训练师 | 康复科组长,"[""孤独症谱系"", ""脑瘫"", ""精神发育迟滞"", ""语言发育迟缓"", ""广泛性发育障碍"", ""构音障碍"", ""康复评估"", ""康复干预计划制定"", ""家庭指导""]",自闭症家园网,浙江杭州市
