START_ID,END_ID,TYPE
center_1,440304,LOCATED_AT
center_2,440307,LOCATED_AT
center_3,110105,LOCATED_AT
center_4,110114,LOCATED_AT
center_5,310114,LOCATED_AT
center_6,120116,LOCATED_AT
center_7,410102,LOCATED_AT
center_8,440106,LOCATED_AT
center_9,330102,LOCATED_AT
center_10,320106,LOCATED_AT
center_11,211402,LOCATED_AT
center_12,210203,LOCATED_AT
center_13,230110,LOCATED_AT
center_14,360830,LOCATED_AT
center_15,330103,LOCATED_AT
center_16,370200,LOCATED_AT
center_17,310101,LOCATED_AT
center_18,110114,LOCATED_AT
center_19,460108,LOCATED_AT
center_20,140106,LOCATED_AT
center_21,370104,LOCATED_AT
center_22,340103,LOCATED_AT
center_23,510108,LOCATED_AT
center_24,130106,LOCATED_AT
center_25,120111,LOCATED_AT
center_26,410103,LOCATED_AT
center_27,430100,LOCATED_AT
center_28,610113,LOCATED_AT
center_29,610113,LOCATED_AT
center_30,410105,LOCATED_AT
center_31,500103,LOCATED_AT
center_32,110108,LOCATED_AT
center_33,110105,LOCATED_AT
center_34,110105,LOCATED_AT
center_35,360112,LOCATED_AT
center_36,370213,LOCATED_AT
center_37,320500,LOCATED_AT
center_38,350100,LOCATED_AT
center_39,430702,LOCATED_AT
center_40,350212,LOCATED_AT
center_41,120115,LOCATED_AT
center_42,500106,LOCATED_AT
center_43,230104,LOCATED_AT
center_44,450302,LOCATED_AT
center_45,430121,LOCATED_AT
center_46,150104,LOCATED_AT
center_47,610825,LOCATED_AT
center_48,640104,LOCATED_AT
center_49,511504,LOCATED_AT
center_50,230110,LOCATED_AT
center_51,320602,LOCATED_AT
center_52,640104,LOCATED_AT
center_53,210204,LOCATED_AT
center_54,410105,LOCATED_AT
center_55,410108,LOCATED_AT
center_56,469021,LOCATED_AT
center_57,230506,LOCATED_AT
center_58,410700,LOCATED_AT
center_59,350203,LOCATED_AT
center_60,130402,LOCATED_AT
center_61,350206,LOCATED_AT
center_62,410103,LOCATED_AT
center_63,222426,LOCATED_AT
center_64,150105,LOCATED_AT
center_65,610800,LOCATED_AT
center_66,211402,LOCATED_AT
center_67,350602,LOCATED_AT
center_68,520402,LOCATED_AT
center_69,321102,LOCATED_AT
center_70,440402,LOCATED_AT
center_71,411300,LOCATED_AT
center_72,230204,LOCATED_AT
center_73,371503,LOCATED_AT
center_74,530111,LOCATED_AT
center_75,530111,LOCATED_AT
center_76,430111,LOCATED_AT
center_77,370700,LOCATED_AT
center_78,340503,LOCATED_AT
center_79,140800,LOCATED_AT
center_80,140428,LOCATED_AT
center_81,469027,LOCATED_AT
center_82,230110,LOCATED_AT
center_83,341602,LOCATED_AT
center_84,371102,LOCATED_AT
center_85,350206,LOCATED_AT
center_86,440309,LOCATED_AT
center_87,500115,LOCATED_AT
center_88,620111,LOCATED_AT
center_89,350205,LOCATED_AT
center_90,620200,LOCATED_AT
center_91,620422,LOCATED_AT
center_92,620421,LOCATED_AT
center_93,620702,LOCATED_AT
center_94,440604,LOCATED_AT
center_95,330700,LOCATED_AT
center_96,330109,LOCATED_AT
center_97,330110,LOCATED_AT
center_98,361002,LOCATED_AT
center_99,110108,LOCATED_AT
center_100,350900,LOCATED_AT
center_101,370700,LOCATED_AT
center_102,330110,LOCATED_AT
center_103,620900,LOCATED_AT
center_104,620900,LOCATED_AT
center_105,620922,LOCATED_AT
center_106,623000,LOCATED_AT
center_107,623021,LOCATED_AT
center_108,632700,LOCATED_AT
center_109,630102,LOCATED_AT
center_110,630104,LOCATED_AT
center_111,120102,LOCATED_AT
center_112,440514,LOCATED_AT
center_113,469006,LOCATED_AT
center_114,640402,LOCATED_AT
center_115,360900,LOCATED_AT
center_116,650203,LOCATED_AT
center_117,650203,LOCATED_AT
center_118,330108,LOCATED_AT
