id,name,type,services,address,contact,source
center_1,东方启音总部,民办康复机构 | 连锁康复机构 | 语言训练机构,"[""言语训练"", ""ABA训练""]","{""street"": ""莲花路新世界文博中心3302室"", ""district"": ""福田区"", ""city"": ""深圳市"", ""province"": ""广东省""}",{"phone": "17097227028"},自闭症家园网（https://www.asd-home.cn/）
center_2,大米和小米,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""地板时光"", ""融合课程""]","{""street"": ""坂田街道"", ""district"": ""龙岗区"", ""city"": ""深圳市"", ""province"": ""广东省""}",{"phone": "17097222919"},自闭症家园网（https://www.asd-home.cn/）
center_3,五彩鹿（总部）,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""小组课""]","{""street"": ""华腾世纪总部公园E2座2层"", ""district"": ""朝阳区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "17181013452"},自闭症家园网（https://www.asd-home.cn/）
center_4,北大医疗脑健康总部,民办康复机构 | 连锁康复机构 | 脑瘫智障机构,"[""感觉统合"", ""言语训练"", ""ABA训练"", ""脑瘫智障"", ""辅助治疗"", ""能力评估""]","{""street"": ""生命科学园生命园路"", ""district"": ""昌平区"", ""city"": ""北京市"", ""province"": ""北京市""}",{"phone": "16741040724"},自闭症家园网（https://www.asd-home.cn/）
center_5,星星桥总部,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""家庭支援"", ""能力评估""]","{""street"": ""城北路358号（嘉定日月光）2F（06-10）"", ""district"": ""嘉定区"", ""city"": ""上海市"", ""province"": ""上海市""}",{"phone": "17132035826"},自闭症家园网（https://www.asd-home.cn/）
center_6,天津阳光家园众禾托养中心,民办康复机构 | 民办托养机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""融合课程"", ""大龄托养""]","{""street"": ""阳光家园众禾托养康复服务中心"", ""district"": ""滨海新区"", ""city"": ""天津市"", ""province"": ""天津市""}",{},自闭症家园网（https://www.asd-home.cn/）
center_7,郑州苗雨田康复中心,民办康复机构 | 家长创办机构,"[""社交训练"", ""沟通理解"", ""感觉统合"", ""言语训练"", ""融合课程""]","{""street"": ""建设西路66号院1号楼7层付70号"", ""district"": ""中原区"", ""city"": ""郑州市"", ""province"": ""河南省""}",{},自闭症家园网（https://www.asd-home.cn/）
center_8,大米和小米广州天河中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""职能治疗""]","{""street"": ""天河北路90-108号西座首、二、三层自编103、201"", ""district"": ""天河区"", ""city"": ""广州市"", ""province"": ""广东省""}",{"phone": "17097222919"},自闭症家园网（https://www.asd-home.cn/）
center_9,大米和小米杭州上城中心,民办康复机构 | 连锁康复机构,"[""社交训练"", ""感觉统合"", ""言语训练"", ""ABA训练"", ""融合课程"", ""职能治疗""]","{""street"": ""彭埠街道"", ""district"": ""上城区"", ""city"": ""杭州市"", ""province"": ""浙江省""}",{"phone": "17132114045"},自闭症家园网（https://www.asd-home.cn/）
center_10,福建超人感统康复中心,民办康复机构,"[""社交训练"", ""认知理解"", ""沟通理解"", ""感觉统合"", ""言语训练""]","{""street"": ""水部街道六一北路565号天创佳缘商住楼"", ""district"": ""鼓楼区"", ""city"": ""福州市"", ""province"": ""福建省""}",{},自闭症家园网（https://www.asd-home.cn/）
