:START_ID,:END_ID,:TYPE
110000,000000,BELONGS_TO
000000,110000,CONTAINS
110101,110000,BELONGS_TO
110000,110101,CONTAINS
110102,110000,BELONGS_TO
110000,110102,CONTAINS
110105,110000,BELONGS_TO
110000,110105,CONTAINS
110106,110000,BELONGS_TO
110000,110106,CONTAINS
110107,110000,BELONGS_TO
110000,110107,CONTAINS
110108,110000,BELONGS_TO
110000,110108,CONTAINS
110109,110000,BELONGS_TO
110000,110109,CONTAINS
110111,110000,BELONGS_TO
110000,110111,CONTAINS
110112,110000,BELONGS_TO
110000,110112,CONTAINS
110113,110000,BELONGS_TO
110000,110113,CONTAINS
110114,110000,BELONGS_TO
110000,110114,CONTAINS
110115,110000,BELONGS_TO
110000,110115,CONTAINS
110116,110000,BELONGS_TO
110000,110116,CONTAINS
110117,110000,BELONGS_TO
110000,110117,CONTAINS
110118,110000,BELONGS_TO
110000,110118,CONTAINS
110119,110000,BELONGS_TO
110000,110119,CONTAINS
120000,000000,BELONGS_TO
000000,120000,CONTAINS
120101,120000,BELONGS_TO
120000,120101,CONTAINS
120102,120000,BELONGS_TO
120000,120102,CONTAINS
120103,120000,BELONGS_TO
120000,120103,CONTAINS
120104,120000,BELONGS_TO
120000,120104,CONTAINS
120105,120000,BELONGS_TO
120000,120105,CONTAINS
120106,120000,BELONGS_TO
120000,120106,CONTAINS
120110,120000,BELONGS_TO
120000,120110,CONTAINS
120111,120000,BELONGS_TO
120000,120111,CONTAINS
120112,120000,BELONGS_TO
120000,120112,CONTAINS
120113,120000,BELONGS_TO
120000,120113,CONTAINS
120114,120000,BELONGS_TO
120000,120114,CONTAINS
120115,120000,BELONGS_TO
120000,120115,CONTAINS
120116,120000,BELONGS_TO
120000,120116,CONTAINS
120117,120000,BELONGS_TO
120000,120117,CONTAINS
120118,120000,BELONGS_TO
120000,120118,CONTAINS
120119,120000,BELONGS_TO
120000,120119,CONTAINS
130000,000000,BELONGS_TO
000000,130000,CONTAINS
130100,130000,BELONGS_TO
130000,130100,CONTAINS
130102,130100,BELONGS_TO
130100,130102,CONTAINS
130103,130100,BELONGS_TO
130100,130103,CONTAINS
130104,130100,BELONGS_TO
130100,130104,CONTAINS
130105,130100,BELONGS_TO
130100,130105,CONTAINS
130106,130100,BELONGS_TO
130100,130106,CONTAINS
130107,130100,BELONGS_TO
130100,130107,CONTAINS
130108,130100,BELONGS_TO
130100,130108,CONTAINS
130109,130100,BELONGS_TO
130100,130109,CONTAINS
130110,130100,BELONGS_TO
130100,130110,CONTAINS
130111,130100,BELONGS_TO
130100,130111,CONTAINS
130112,130100,BELONGS_TO
130100,130112,CONTAINS
130113,130100,BELONGS_TO
130100,130113,CONTAINS
130114,130100,BELONGS_TO
130100,130114,CONTAINS
130115,130100,BELONGS_TO
130100,130115,CONTAINS
130116,130100,BELONGS_TO
130100,130116,CONTAINS
130117,130100,BELONGS_TO
130100,130117,CONTAINS
130118,130100,BELONGS_TO
130100,130118,CONTAINS
130119,130100,BELONGS_TO
130100,130119,CONTAINS
130120,130100,BELONGS_TO
130100,130120,CONTAINS
130121,130100,BELONGS_TO
130100,130121,CONTAINS
130122,130100,BELONGS_TO
130100,130122,CONTAINS
130123,130100,BELONGS_TO
130100,130123,CONTAINS
130200,130000,BELONGS_TO
130000,130200,CONTAINS
130202,130200,BELONGS_TO
130200,130202,CONTAINS
130203,130200,BELONGS_TO
130200,130203,CONTAINS
130204,130200,BELONGS_TO
130200,130204,CONTAINS
130205,130200,BELONGS_TO
130200,130205,CONTAINS
130207,130200,BELONGS_TO
130200,130207,CONTAINS
130208,130200,BELONGS_TO
130200,130208,CONTAINS
130209,130200,BELONGS_TO
130200,130209,CONTAINS
130224,130200,BELONGS_TO
130200,130224,CONTAINS
130225,130200,BELONGS_TO
130200,130225,CONTAINS
130227,130200,BELONGS_TO
130200,130227,CONTAINS
130229,130200,BELONGS_TO
130200,130229,CONTAINS
130281,130200,BELONGS_TO
130200,130281,CONTAINS
130283,130200,BELONGS_TO
130200,130283,CONTAINS
130284,130200,BELONGS_TO
130200,130284,CONTAINS
130300,130000,BELONGS_TO
130000,130300,CONTAINS
130302,130300,BELONGS_TO
130300,130302,CONTAINS
130303,130300,BELONGS_TO
130300,130303,CONTAINS
130304,130300,BELONGS_TO
130300,130304,CONTAINS
130306,130300,BELONGS_TO
130300,130306,CONTAINS
130321,130300,BELONGS_TO
130300,130321,CONTAINS
130322,130300,BELONGS_TO
130300,130322,CONTAINS
130324,130300,BELONGS_TO
130300,130324,CONTAINS
130400,130000,BELONGS_TO
130000,130400,CONTAINS
130402,130400,BELONGS_TO
130400,130402,CONTAINS
130403,130400,BELONGS_TO
130400,130403,CONTAINS
130404,130400,BELONGS_TO
130400,130404,CONTAINS
130406,130400,BELONGS_TO
130400,130406,CONTAINS
130407,130400,BELONGS_TO
130400,130407,CONTAINS
130408,130400,BELONGS_TO
130400,130408,CONTAINS
130423,130400,BELONGS_TO
130400,130423,CONTAINS
130424,130400,BELONGS_TO
130400,130424,CONTAINS
130425,130400,BELONGS_TO
130400,130425,CONTAINS
130426,130400,BELONGS_TO
130400,130426,CONTAINS
130427,130400,BELONGS_TO
130400,130427,CONTAINS
130430,130400,BELONGS_TO
130400,130430,CONTAINS
130431,130400,BELONGS_TO
130400,130431,CONTAINS
130432,130400,BELONGS_TO
130400,130432,CONTAINS
130433,130400,BELONGS_TO
130400,130433,CONTAINS
130434,130400,BELONGS_TO
130400,130434,CONTAINS
130435,130400,BELONGS_TO
130400,130435,CONTAINS
130481,130400,BELONGS_TO
130400,130481,CONTAINS
130500,130000,BELONGS_TO
130000,130500,CONTAINS
130502,130500,BELONGS_TO
130500,130502,CONTAINS
130503,130500,BELONGS_TO
130500,130503,CONTAINS
130505,130500,BELONGS_TO
130500,130505,CONTAINS
130506,130500,BELONGS_TO
130500,130506,CONTAINS
